date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:26	81284/81284	---M--	200	added ('OK')	application/font-woff	etag:%2201bef7cc291dc1:0%22	https://wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont.woff?v=4.4.0	C:/My%20Web%20Sites/wandmose/wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont93e3.woff	(from https://wandmose.dk/)
16:09:27	138204/138204	---M--	200	added ('OK')	application/octet-stream	etag:%2201bef7cc291dc1:0%22	https://wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont.ttf?v=4.4.0	C:/My%20Web%20Sites/wandmose/wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont93e3.ttf	(from https://wandmose.dk/)
16:09:29	356620/356620	---M--	200	added ('OK')	image/svg+xml	etag:%2201bef7cc291dc1:0%22	https://wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont.svg?v=4.4.0	C:/My%20Web%20Sites/wandmose/wandmose.dk/Common/Fonts/Font-awesome-4.4.0/fontawesome-webfont93e3.svg	(from https://wandmose.dk/)
16:09:29	544/544	---M--	200	added ('OK')	image/png	etag:%2201bef7cc291dc1:0%22	https://wandmose.dk/Common/Images/cross.png	C:/My%20Web%20Sites/wandmose/wandmose.dk/Common/Images/cross.png	(from https://wandmose.dk/)
16:09:29	4200/4200	---M--	200	added ('OK')	image/svg+xml	etag:%22d2bccbd66825d71:0%22	https://wandmose.dk/customerdata/files/templates/1/driving-school.svg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/driving-school.svg	(from https://wandmose.dk/)
16:09:30	4656/4656	---M--	200	added ('OK')	image/svg+xml	etag:%22755ac9d66825d71:0%22	https://wandmose.dk/customerdata/files/templates/1/driving-school-1.svg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/driving-school-1.svg	(from https://wandmose.dk/)
16:09:31	3677/3677	---M--	200	added ('OK')	image/png	etag:%222616c8224425d71:0%22	https://wandmose.dk/customerdata/files/templates/1/button-mikro-arrow.png	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/button-mikro-arrow.png	(from https://wandmose.dk/)
16:09:32	599/599	---M--	200	added ('OK')	image/svg+xml	etag:%223e5b81dc5f25d71:0%22	https://wandmose.dk/customerdata/files/templates/1/arrow-white.svg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/arrow-white.svg	(from https://wandmose.dk/)
16:09:33	850/850	---M--	200	added ('OK')	image/png	etag:%22afc49496625d71:0%22	https://wandmose.dk/customerdata/files/templates/1/avatar.png	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/avatar.png	(from https://wandmose.dk/)
16:09:34	2253/2253	---M--	200	added ('OK')	image/svg+xml	etag:%2242eb29f75f25d71:0%22	https://wandmose.dk/customerdata/files/templates/1/trustpilot-stars.svg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/trustpilot-stars.svg	(from https://wandmose.dk/)
16:09:35	78712/78712	---M--	200	added ('OK')	image/jpeg	etag:%22bab724246725d71:0%22	https://wandmose.dk/customerdata/files/templates/1/content-img-1.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/content-img-1.jpg	(from https://wandmose.dk/)
16:09:36	34965/34965	---M--	200	added ('OK')	image/png	etag:%2228c948112868dc1:0%22	https://wandmose.dk/customerdata/files/templates/1/iphonex-large.png	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/iphonex-large.png	(from https://wandmose.dk/)
16:09:36	4955/4955	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2009:09:17%20GMT	https://wandmose.dk/customerdata/files/templates/1/cta2.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/cta2.14.delayed	(from https://wandmose.dk/)
16:09:37	4955/4955	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2009:09:17%20GMT	https://wandmose.dk/customerdata/files/templates/1/cta1.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/cta1.15.delayed	(from https://wandmose.dk/)
16:09:38	4955/4955	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2009:09:18%20GMT	https://wandmose.dk/customerdata/files/templates/1/cta4.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/cta4.16.delayed	(from https://wandmose.dk/)
16:09:39	4955/4955	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jun%202026%2009:09:20%20GMT	https://wandmose.dk/customerdata/files/templates/1/cta3.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/cta3.17.delayed	(from https://wandmose.dk/)
16:09:40	73953/73953	---M--	200	added ('OK')	image/jpeg	etag:%22e17b46bb1943d71:0%22	https://wandmose.dk/customerdata/files/templates/1/1.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/1.jpg	(from https://wandmose.dk/)
16:09:41	124732/124732	---M--	200	added ('OK')	image/jpeg	etag:%22c9cc58606c25d71:0%22	https://wandmose.dk/customerdata/files/templates/1/contact-bg.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/contact-bg.jpg	(from https://wandmose.dk/)
16:09:42	98252/98252	---M--	200	added ('OK')	image/jpeg	etag:%221fd3a6a4a348d71:0%22	https://wandmose.dk/customerdata/files/templates/1/korekort-cta.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/korekort-cta.jpg	(from https://wandmose.dk/)
16:09:43	47528/47528	---M--	200	added ('OK')	image/jpeg	etag:%22c4ad912a448d71:0%22	https://wandmose.dk/customerdata/files/templates/1/logo-cta.jpg	C:/My%20Web%20Sites/wandmose/wandmose.dk/customerdata/files/templates/1/logo-cta.jpg	(from https://wandmose.dk/)
